date,precip,rainfall,snow_melt,Tair,baseflow,runoff
4/13/09,0.400000006,0.300230652,0,7.945900917,0.023919687,0.005415403
4/14/09,5.025000095,4.553374767,0,5.605157852,0.023912817,0.104813233
4/15/09,13.82499981,4.533643723,0,-1.407201767,0.023905948,0
4/16/09,5.425000191,2.634861708,0,-0.363862962,0.023899082,0
4/17/09,0,0,10.05778408,3.725785971,0.023892218,0.442540228
4/18/09,0,0,3.158982754,6.242616653,0.023885356,0.156879395
4/19/09,0,0,0,8.563426018,0.023878498,0
4/20/09,0,0,0,10.79801178,0.023871645,0
4/21/09,0,0,0,12.12499619,0.023864798,0
4/22/09,0,0,0,12.06852627,0.023857951,0
4/23/09,0.275000006,0.275000006,0,13.86110973,0.023851108,0.005550805
4/24/09,4.974999905,4.974999905,0,9.438131332,0.023844264,0.103030749
4/25/09,12.375,9.559383392,3.833408594,6.52408123,0.023837425,0.44277668
4/26/09,0.524999976,0.422673106,0,3.23197937,0.023830591,0.018567359
4/27/09,0,0,0,6.450988293,0.023823779,0
4/28/09,0,0,0,8.567066193,0.023816979,0
4/29/09,0,0,0,6.897770882,0.023810184,0
4/30/09,0.800000012,0.66157645,0,9.098664284,0.023803392,0.017561562
5/1/09,4.824999809,4.824999809,0,9.813752174,0.023796603,0.197908729
5/2/09,4.775000095,4.775000095,0,10.19428921,0.023789817,0.116214268
5/3/09,0.5,0.5,0,10.91786003,0.023783045,0.015930468
5/4/09,0.275000006,0.269506007,0,8.878357887,0.023776278,0.010896704
5/5/09,0,0,0,13.83461666,0.023769516,0
5/6/09,0,0,0,14.10487938,0.023762753,0
5/7/09,0,0,0,13.61880016,0.023755986,0
5/8/09,0,0,0,8.550646782,0.023749217,0
5/9/09,0,0,0,8.47595787,0.023742447,0
5/10/09,0,0,0,11.10787296,0.023735674,0
5/11/09,0,0,0,13.30561543,0.023728902,0
5/12/09,0,0,0,13.69791222,0.023722125,0
5/13/09,0,0,0,7.61434412,0.023715349,0
5/14/09,0,0,0,10.32481098,0.023708571,0
5/15/09,0,0,0,13.19066811,0.023701794,0
5/16/09,0,0,0,14.6358099,0.023695016,0
5/17/09,0,0,0,16.08169937,0.023688238,0
5/18/09,0,0,0,19.47633934,0.02368146,0
5/19/09,0.025,0.025,0,18.60155678,0.02367468,0.000428399
5/20/09,0.025,0.025,0,17.15385818,0.023667902,0.000425112
5/21/09,0,0,0,14.91678905,0.023661125,0
5/22/09,1.674999952,1.674999952,0,15.33286762,0.023654349,0.057524521
5/23/09,5.25,5.25,0,15.96722984,0.023647573,0.094965436
5/24/09,3.549999952,3.549999952,0,12.36737919,0.0236408,0.141813219
5/25/09,9.375,9.375,0,13.0918541,0.023634028,0.20517765
5/26/09,0.174999997,0.174999997,0,13.46548367,0.023627257,0.003980883
5/27/09,0,0,0,15.10014534,0.023620488,0
5/28/09,0,0,0,16.59243965,0.023613719,0
5/29/09,0,0,0,17.41545486,0.023606952,0
5/30/09,0.150000006,0.150000006,0,14.76332474,0.023600187,0.002976369
